Num GPUs Available:  1

------------ Current Test : ------------
Dataset name : CIFAR10
Bias : None
Bench test : False
NN name : DenseNet201
FDA name : naive
Num Clients : 10
Batch size : 32
Num Epochs : 300
Number of steps until we check RTC : 1
Theta : 500.0
Aggr. Scheme : avg
Per-Layer training : False
-----------------------------------------

EpochMetrics(epoch=140, total_rounds=118, total_fda_steps=21875, accuracy=0.8059999942779541, train_accuracy=0.83125)
EpochMetrics(epoch=141, total_rounds=119, total_fda_steps=22032, accuracy=0.8026000261306763, train_accuracy=0.846875)
EpochMetrics(epoch=142, total_rounds=121, total_fda_steps=22188, accuracy=0.8094000220298767, train_accuracy=0.91875)
EpochMetrics(epoch=143, total_rounds=122, total_fda_steps=22344, accuracy=0.8100000023841858, train_accuracy=0.865625)
EpochMetrics(epoch=144, total_rounds=123, total_fda_steps=22500, accuracy=0.807200014591217, train_accuracy=0.821875)
EpochMetrics(epoch=145, total_rounds=124, total_fda_steps=22657, accuracy=0.8076000213623047, train_accuracy=0.8875)
EpochMetrics(epoch=146, total_rounds=125, total_fda_steps=22813, accuracy=0.8091999888420105, train_accuracy=0.8375)
EpochMetrics(epoch=147, total_rounds=126, total_fda_steps=22969, accuracy=0.8036999702453613, train_accuracy=0.7875)
EpochMetrics(epoch=148, total_rounds=127, total_fda_steps=23125, accuracy=0.8065000176429749, train_accuracy=0.83125)
EpochMetrics(epoch=149, total_rounds=129, total_fda_steps=23282, accuracy=0.8108999729156494, train_accuracy=0.925)
EpochMetrics(epoch=150, total_rounds=130, total_fda_steps=23438, accuracy=0.8098999857902527, train_accuracy=0.915625)
EpochMetrics(epoch=151, total_rounds=131, total_fda_steps=23594, accuracy=0.8082000017166138, train_accuracy=0.9)
EpochMetrics(epoch=152, total_rounds=132, total_fda_steps=23750, accuracy=0.8125, train_accuracy=0.840625)
EpochMetrics(epoch=153, total_rounds=133, total_fda_steps=23907, accuracy=0.8130999803543091, train_accuracy=0.840625)
EpochMetrics(epoch=154, total_rounds=134, total_fda_steps=24063, accuracy=0.8057000041007996, train_accuracy=0.81875)
EpochMetrics(epoch=155, total_rounds=136, total_fda_steps=24219, accuracy=0.8069999814033508, train_accuracy=0.93125)
EpochMetrics(epoch=156, total_rounds=137, total_fda_steps=24375, accuracy=0.8131999969482422, train_accuracy=0.9)
EpochMetrics(epoch=157, total_rounds=138, total_fda_steps=24532, accuracy=0.8075000047683716, train_accuracy=0.8625)
EpochMetrics(epoch=158, total_rounds=139, total_fda_steps=24688, accuracy=0.8083999752998352, train_accuracy=0.85625)
EpochMetrics(epoch=159, total_rounds=140, total_fda_steps=24844, accuracy=0.8054999709129333, train_accuracy=0.859375)
EpochMetrics(epoch=160, total_rounds=142, total_fda_steps=25000, accuracy=0.8080999851226807, train_accuracy=0.909375)
EpochMetrics(epoch=161, total_rounds=143, total_fda_steps=25157, accuracy=0.8165000081062317, train_accuracy=0.9)
EpochMetrics(epoch=162, total_rounds=144, total_fda_steps=25313, accuracy=0.8151000142097473, train_accuracy=0.871875)
EpochMetrics(epoch=163, total_rounds=145, total_fda_steps=25469, accuracy=0.8111000061035156, train_accuracy=0.875)
EpochMetrics(epoch=164, total_rounds=146, total_fda_steps=25625, accuracy=0.8090000152587891, train_accuracy=0.828125)
EpochMetrics(epoch=165, total_rounds=148, total_fda_steps=25782, accuracy=0.8044000267982483, train_accuracy=0.8875)
EpochMetrics(epoch=166, total_rounds=149, total_fda_steps=25938, accuracy=0.8079000115394592, train_accuracy=0.86875)
EpochMetrics(epoch=167, total_rounds=150, total_fda_steps=26094, accuracy=0.807699978351593, train_accuracy=0.85)
EpochMetrics(epoch=168, total_rounds=151, total_fda_steps=26250, accuracy=0.808899998664856, train_accuracy=0.86875)
EpochMetrics(epoch=169, total_rounds=153, total_fda_steps=26407, accuracy=0.8131999969482422, train_accuracy=0.875)
EpochMetrics(epoch=170, total_rounds=154, total_fda_steps=26563, accuracy=0.8156999945640564, train_accuracy=0.85625)
EpochMetrics(epoch=171, total_rounds=155, total_fda_steps=26719, accuracy=0.8133999705314636, train_accuracy=0.884375)
EpochMetrics(epoch=172, total_rounds=156, total_fda_steps=26875, accuracy=0.8095999956130981, train_accuracy=0.8375)
EpochMetrics(epoch=173, total_rounds=158, total_fda_steps=27032, accuracy=0.8156999945640564, train_accuracy=0.93125)
EpochMetrics(epoch=174, total_rounds=159, total_fda_steps=27188, accuracy=0.8148999810218811, train_accuracy=0.9)
EpochMetrics(epoch=175, total_rounds=160, total_fda_steps=27344, accuracy=0.8091999888420105, train_accuracy=0.840625)
EpochMetrics(epoch=176, total_rounds=162, total_fda_steps=27500, accuracy=0.8100000023841858, train_accuracy=0.934375)
EpochMetrics(epoch=177, total_rounds=163, total_fda_steps=27657, accuracy=0.8156999945640564, train_accuracy=0.928125)
EpochMetrics(epoch=178, total_rounds=164, total_fda_steps=27813, accuracy=0.8151000142097473, train_accuracy=0.84375)
EpochMetrics(epoch=179, total_rounds=165, total_fda_steps=27969, accuracy=0.8087000250816345, train_accuracy=0.78125)
EpochMetrics(epoch=180, total_rounds=167, total_fda_steps=28125, accuracy=0.8156999945640564, train_accuracy=0.903125)
EpochMetrics(epoch=181, total_rounds=168, total_fda_steps=28282, accuracy=0.8095999956130981, train_accuracy=0.85)
EpochMetrics(epoch=182, total_rounds=169, total_fda_steps=28438, accuracy=0.8090000152587891, train_accuracy=0.809375)
EpochMetrics(epoch=183, total_rounds=171, total_fda_steps=28594, accuracy=0.8145999908447266, train_accuracy=0.903125)
EpochMetrics(epoch=184, total_rounds=172, total_fda_steps=28750, accuracy=0.8165000081062317, train_accuracy=0.84375)
EpochMetrics(epoch=185, total_rounds=173, total_fda_steps=28907, accuracy=0.8004000186920166, train_accuracy=0.85)
EpochMetrics(epoch=186, total_rounds=175, total_fda_steps=29063, accuracy=0.8152999877929688, train_accuracy=0.921875)
EpochMetrics(epoch=187, total_rounds=176, total_fda_steps=29219, accuracy=0.814300000667572, train_accuracy=0.834375)
EpochMetrics(epoch=188, total_rounds=177, total_fda_steps=29375, accuracy=0.8147000074386597, train_accuracy=0.85625)
EpochMetrics(epoch=189, total_rounds=179, total_fda_steps=29532, accuracy=0.8137000203132629, train_accuracy=0.909375)
EpochMetrics(epoch=190, total_rounds=180, total_fda_steps=29688, accuracy=0.8141000270843506, train_accuracy=0.86875)
EpochMetrics(epoch=191, total_rounds=181, total_fda_steps=29844, accuracy=0.8055999875068665, train_accuracy=0.81875)
